,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1240,K2-24 c,K2-24,1,2,Transit,2016,42.3391,7.5,1.16,1.07,0.34,170.562,2010s,Jovian,0.9224137931034484
1241,K2-240 b,K2-240,1,2,Transit,2018,6.034,2.0,0.54,0.58,-0.1,72.9105,2010s,Sub-Neptune,1.074074074074074
1242,K2-240 c,K2-240,1,2,Transit,2018,20.523,1.8,0.54,0.58,-0.1,72.9105,2010s,Sub-Neptune,1.074074074074074
1243,K2-241 b,K2-241,1,1,Transit,2018,26.8199,2.55,0.75,0.71,-0.44,149.464,2010s,Sub-Neptune,0.9466666666666667
1244,K2-242 b,K2-242,1,1,Transit,2018,6.51389,2.54,0.37,0.38,-0.01,109.237,2010s,Sub-Neptune,1.027027027027027
1245,K2-243 b,K2-243,1,2,Transit,2018,11.54182,2.17,1.39,1.29,-0.03,266.864,2010s,Sub-Neptune,0.9280575539568346
1246,K2-243 c,K2-243,1,2,Transit,2018,24.94598,2.01,1.39,1.29,-0.03,266.864,2010s,Sub-Neptune,0.9280575539568346
1247,K2-244 b,K2-244,1,1,Transit,2018,21.06884,1.75,0.92,0.86,-0.29,212.902,2010s,Sub-Neptune,0.9347826086956521
1248,K2-245 b,K2-245,1,1,Transit,2018,11.89307,4.34,1.25,0.83,-0.45,456.064,2010s,Sub-Jovian,0.6639999999999999
1249,K2-246 b,K2-246,1,1,Transit,2018,5.76918,3.49,0.94,0.87,-0.19,703.616,2010s,Sub-Neptune,0.9255319148936171
1250,K2-247 b,K2-247,1,2,Transit,2018,2.25021,2.12,0.69,0.74,-0.08,258.113,2010s,Sub-Neptune,1.0724637681159421
1251,K2-247 c,K2-247,1,2,Transit,2018,6.49424,2.19,0.69,0.74,-0.08,258.113,2010s,Sub-Neptune,1.0724637681159421
1252,K2-248 b,K2-248,1,1,Transit,2018,7.17256,2.57,0.92,0.88,-0.1,406.254,2010s,Sub-Neptune,0.9565217391304347
1253,K2-249 b,K2-249,1,1,Transit,2018,12.409,2.79,1.57,1.32,0.04,521.716,2010s,Sub-Neptune,0.8407643312101911
1254,K2-25 b,K2-25,1,1,Transit,2015,3.48456408,3.44,0.29,0.26,0.15,44.9565,2010s,Sub-Neptune,0.8965517241379312
1255,K2-250 b,K2-250,1,1,Transit,2018,4.01457,2.44,0.81,0.8,-0.09,414.708,2010s,Sub-Neptune,0.9876543209876543
1256,K2-251 b,K2-251,1,1,Transit,2018,9.30075,2.35,0.49,0.52,-0.04,147.03,2010s,Sub-Neptune,1.0612244897959184
1257,K2-252 b,K2-252,1,1,Transit,2018,13.81513,1.74,0.82,0.79,-0.09,228.839,2010s,Super-Earth,0.9634146341463415
1258,K2-253 b,K2-253,1,1,Transit,2018,4.00167,12.67,1.1,1.08,0.0,876.565,2010s,Jovian,0.9818181818181818
1259,K2-254 b,K2-254,1,2,Transit,2018,4.09639,1.63,0.67,0.71,-0.14,227.775,2010s,Super-Earth,1.0597014925373134
1260,K2-254 c,K2-254,1,2,Transit,2018,12.11839,2.19,0.67,0.71,-0.14,227.775,2010s,Sub-Neptune,1.0597014925373134
1261,K2-255 b,K2-255,1,1,Transit,2018,1.96417,2.9,0.69,0.71,-0.14,191.608,2010s,Sub-Neptune,1.028985507246377
1262,K2-256 b,K2-256,1,1,Transit,2018,5.52011,2.63,0.78,0.84,-0.1,564.693,2010s,Sub-Neptune,1.0769230769230769
1263,K2-257 b,K2-257,1,1,Transit,2018,1.60588,0.83,0.5,0.52,-0.03,64.0065,2010s,Terrestrial,1.04
1264,K2-258 b,K2-258,1,1,Transit,2018,19.0921,3.0,1.31,1.21,0.01,661.873,2010s,Sub-Neptune,0.9236641221374046
1265,K2-259 b,K2-259,1,1,Transit,2018,15.48043,2.32,1.13,1.14,0.16,416.457,2010s,Sub-Neptune,1.008849557522124
1266,K2-26 b,K2-26,1,1,Transit,2016,14.5665,2.67,0.52,0.56,-0.13,99.0504,2010s,Sub-Neptune,1.076923076923077
1267,K2-260 b,K2-260,1,1,Transit,2018,2.6266657,17.396,1.69,1.39,-0.14,663.834,2010s,Jovian,0.8224852071005917
1268,K2-261 b,K2-261,1,1,Transit,2018,11.633478,9.528,1.64,1.09,0.36,213.283,2010s,Jovian,0.6646341463414634
1269,K2-263 b,K2-263,1,1,Transit,2018,50.818947,2.41,0.85,0.88,-0.08,162.481,2010s,Sub-Neptune,1.035294117647059
1270,K2-264 b,K2-264,1,2,Transit,2018,5.840002,2.231,0.47,0.5,-0.013,185.605,2010s,Sub-Neptune,1.0638297872340425
1271,K2-264 c,K2-264,1,2,Transit,2018,19.660302,2.668,0.47,0.5,-0.013,185.605,2010s,Sub-Neptune,1.0638297872340425
1272,K2-265 b,K2-265,2,1,Transit,2018,2.369172,1.71,0.98,0.92,0.078,138.671,2010s,Super-Earth,0.9387755102040817
1273,K2-266 b,K2-266,2,4,Transit,2018,0.658524,3.3,0.7,0.69,-0.12,77.5586,2010s,Sub-Neptune,0.9857142857142857
1274,K2-266 c,K2-266,2,4,Transit,2018,7.814,0.705,0.7,0.69,-0.12,77.5586,2010s,Terrestrial,0.9857142857142857
1275,K2-266 d,K2-266,2,4,Transit,2018,14.697,2.93,0.7,0.69,-0.12,77.5586,2010s,Sub-Neptune,0.9857142857142857
1276,K2-266 e,K2-266,2,4,Transit,2018,19.482,2.73,0.7,0.69,-0.12,77.5586,2010s,Sub-Neptune,0.9857142857142857
1277,K2-268 b,K2-268,1,5,Transit,2018,2.151676,1.5,0.78,0.84,0.03,327.783,2010s,Super-Earth,1.0769230769230769
1278,K2-268 c,K2-268,1,5,Transit,2018,9.327527,2.69,0.78,0.84,0.03,327.783,2010s,Sub-Neptune,1.0769230769230769
1279,K2-268 d,K2-268,1,5,Transit,2019,4.528598,1.49,0.78,0.84,0.03,327.783,2010s,Super-Earth,1.0769230769230769
1280,K2-268 e,K2-268,1,5,Transit,2019,6.131243,1.33,0.78,0.84,0.03,327.783,2010s,Super-Earth,1.0769230769230769
1281,K2-268 f,K2-268,1,5,Transit,2019,26.27057,2.23,0.78,0.84,0.03,327.783,2010s,Sub-Neptune,1.0769230769230769
1282,K2-269 b,K2-269,1,1,Transit,2018,4.144965,1.57,1.45,1.16,-0.08,360.76,2010s,Super-Earth,0.7999999999999999
1283,K2-27 b,K2-27,3,1,Transit,2016,6.771315,4.48,0.89,0.87,0.13,249.645,2010s,Sub-Jovian,0.9775280898876404
1284,K2-270 b,K2-270,1,2,Transit,2018,1.543069,1.38,0.77,0.85,0.26,280.518,2010s,Super-Earth,1.103896103896104
1285,K2-270 c,K2-270,1,2,Transit,2018,4.400028,2.95,0.77,0.85,0.26,280.518,2010s,Sub-Neptune,1.103896103896104
1286,K2-271 b,K2-271,1,1,Transit,2018,8.562421,7.28,0.99,0.83,-0.3,564.454,2010s,Jovian,0.8383838383838383
1287,K2-272 b,K2-272,1,1,Transit,2018,14.4536756,3.13,0.83,0.86,-0.09,423.065,2010s,Sub-Neptune,1.036144578313253
1288,K2-273 b,K2-273,1,1,Transit,2018,11.7195663,3.05,0.85,0.89,0.2,308.105,2010s,Sub-Neptune,1.0470588235294118
1289,K2-274 b,K2-274,1,1,Transit,2018,14.1330314,2.08,0.7,0.79,-0.16,228.327,2010s,Sub-Neptune,1.1285714285714288
1290,K2-275 b,K2-275,1,2,Transit,2018,3.2809626,2.34,0.69,0.77,-0.06,123.438,2010s,Sub-Neptune,1.1159420289855073
